coordinate_id,market_id,city,state,geometry_id,point_id,label,bearing_deg,distance_miles,latitude,longitude,center_method_version,coordinate_method,precision_decimal_places,water_eligibility,provisional_risk
MKT010_MAPORG_SW4,MKT010,Spokane,WA,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,47.6188534,-117.4830822,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT010_MAPORG_NW4,MKT010,Spokane,WA,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,47.7007343,-117.4831769,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT011_MAPORG_NE4,MKT011,Phoenix,AZ,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,33.4898208,-112.0281196,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT011_MAPORG_SE4,MKT011,Phoenix,AZ,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,33.4077396,-112.0281658,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT011_MAPORG_SW4,MKT011,Phoenix,AZ,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,33.4077396,-112.1260342,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT011_MAPORG_NW4,MKT011,Phoenix,AZ,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,33.4898208,-112.1260804,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT012_MAPORG_NE4,MKT012,Tucson,AZ,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,32.2636093,-110.9264494,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT012_MAPORG_SE4,MKT012,Tucson,AZ,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,32.181512,-110.9264928,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT012_MAPORG_SW4,MKT012,Tucson,AZ,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,32.181512,-111.0230272,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT012_MAPORG_NW4,MKT012,Tucson,AZ,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,32.2636093,-111.0230706,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT013_MAPORG_NE4,MKT013,Las Vegas,NV,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,36.2084014,-115.0978815,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT013_MAPORG_SE4,MKT013,Las Vegas,NV,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,36.126357,-115.0979342,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT013_MAPORG_SW4,MKT013,Las Vegas,NV,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,36.126357,-115.1990658,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT013_MAPORG_NW4,MKT013,Las Vegas,NV,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,36.2084014,-115.1991185,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT014_MAPORG_NE4,MKT014,Reno,NV,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,39.5671466,-119.759678,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT014_MAPORG_SE4,MKT014,Reno,NV,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,39.485149,-119.7597403,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT014_MAPORG_SW4,MKT014,Reno,NV,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,39.485149,-119.8655597,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT014_MAPORG_NW4,MKT014,Reno,NV,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,39.5671466,-119.865622,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT015_MAPORG_NE4,MKT015,Salt Lake City,UT,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,40.8005603,-111.8328659,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT015_MAPORG_SE4,MKT015,Salt Lake City,UT,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,40.7185802,-111.8329321,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT015_MAPORG_SW4,MKT015,Salt Lake City,UT,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,40.7185802,-111.9406799,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT015_MAPORG_NW4,MKT015,Salt Lake City,UT,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,40.8005603,-111.9407461,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT016_MAPORG_NE4,MKT016,Denver,CO,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,39.780425,-104.9357549,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT016_MAPORG_SE4,MKT016,Denver,CO,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,39.6984304,-104.9358178,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT016_MAPORG_SW4,MKT016,Denver,CO,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,39.6984304,-105.0419622,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT016_MAPORG_NW4,MKT016,Denver,CO,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,39.780425,-105.0420251,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT017_MAPORG_NE4,MKT017,Colorado Springs,CO,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,38.8766,-104.7685417,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT017_MAPORG_SE4,MKT017,Colorado Springs,CO,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,38.7945927,-104.7686019,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT017_MAPORG_SW4,MKT017,Colorado Springs,CO,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,38.7945927,-104.8733925,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT017_MAPORG_NW4,MKT017,Colorado Springs,CO,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,38.8766,-104.8734527,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT018_MAPORG_NE4,MKT018,Boise,ID,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,43.6560755,-116.1449523,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT018_MAPORG_SE4,MKT018,Boise,ID,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,43.5741364,-116.1450289,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT018_MAPORG_SW4,MKT018,Boise,ID,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,43.5741364,-116.2577311,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
