coordinate_id,market_id,city,state,surface_group,geometry_id,point_id,distance_miles,latitude,longitude,country_boundary_status,water_eligibility_status,collection_eligibility,matched_mtfcc,provisional_risk,classifier_version
MKT012_MAPORG_SW4,MKT012,Tucson,AZ,maps_organic,GEOGRID13E_V1,SW4,4.0,32.181512,-111.0230272,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT012_MAPORG_NW4,MKT012,Tucson,AZ,maps_organic,GEOGRID13E_V1,NW4,4.0,32.2636093,-111.0230706,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT013_MAPORG_NE4,MKT013,Las Vegas,NV,maps_organic,GEOGRID13E_V1,NE4,4.0,36.2084014,-115.0978815,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT013_MAPORG_SE4,MKT013,Las Vegas,NV,maps_organic,GEOGRID13E_V1,SE4,4.0,36.126357,-115.0979342,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT013_MAPORG_SW4,MKT013,Las Vegas,NV,maps_organic,GEOGRID13E_V1,SW4,4.0,36.126357,-115.1990658,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT013_MAPORG_NW4,MKT013,Las Vegas,NV,maps_organic,GEOGRID13E_V1,NW4,4.0,36.2084014,-115.1991185,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT014_MAPORG_NE4,MKT014,Reno,NV,maps_organic,GEOGRID13E_V1,NE4,4.0,39.5671466,-119.759678,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT014_MAPORG_SE4,MKT014,Reno,NV,maps_organic,GEOGRID13E_V1,SE4,4.0,39.485149,-119.7597403,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT014_MAPORG_SW4,MKT014,Reno,NV,maps_organic,GEOGRID13E_V1,SW4,4.0,39.485149,-119.8655597,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT014_MAPORG_NW4,MKT014,Reno,NV,maps_organic,GEOGRID13E_V1,NW4,4.0,39.5671466,-119.865622,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT015_MAPORG_NE4,MKT015,Salt Lake City,UT,maps_organic,GEOGRID13E_V1,NE4,4.0,40.8005603,-111.8328659,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT015_MAPORG_SE4,MKT015,Salt Lake City,UT,maps_organic,GEOGRID13E_V1,SE4,4.0,40.7185802,-111.8329321,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT015_MAPORG_SW4,MKT015,Salt Lake City,UT,maps_organic,GEOGRID13E_V1,SW4,4.0,40.7185802,-111.9406799,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT015_MAPORG_NW4,MKT015,Salt Lake City,UT,maps_organic,GEOGRID13E_V1,NW4,4.0,40.8005603,-111.9407461,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT016_MAPORG_NE4,MKT016,Denver,CO,maps_organic,GEOGRID13E_V1,NE4,4.0,39.780425,-104.9357549,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT016_MAPORG_SE4,MKT016,Denver,CO,maps_organic,GEOGRID13E_V1,SE4,4.0,39.6984304,-104.9358178,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT016_MAPORG_SW4,MKT016,Denver,CO,maps_organic,GEOGRID13E_V1,SW4,4.0,39.6984304,-105.0419622,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT016_MAPORG_NW4,MKT016,Denver,CO,maps_organic,GEOGRID13E_V1,NW4,4.0,39.780425,-105.0420251,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT017_MAPORG_NE4,MKT017,Colorado Springs,CO,maps_organic,GEOGRID13E_V1,NE4,4.0,38.8766,-104.7685417,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT017_MAPORG_SE4,MKT017,Colorado Springs,CO,maps_organic,GEOGRID13E_V1,SE4,4.0,38.7945927,-104.7686019,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT017_MAPORG_SW4,MKT017,Colorado Springs,CO,maps_organic,GEOGRID13E_V1,SW4,4.0,38.7945927,-104.8733925,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT017_MAPORG_NW4,MKT017,Colorado Springs,CO,maps_organic,GEOGRID13E_V1,NW4,4.0,38.8766,-104.8734527,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT018_MAPORG_NE4,MKT018,Boise,ID,maps_organic,GEOGRID13E_V1,NE4,4.0,43.6560755,-116.1449523,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT018_MAPORG_SE4,MKT018,Boise,ID,maps_organic,GEOGRID13E_V1,SE4,4.0,43.5741364,-116.1450289,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT018_MAPORG_SW4,MKT018,Boise,ID,maps_organic,GEOGRID13E_V1,SW4,4.0,43.5741364,-116.2577311,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT018_MAPORG_NW4,MKT018,Boise,ID,maps_organic,GEOGRID13E_V1,NW4,4.0,43.6560755,-116.2578077,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT019_MAPORG_NE4,MKT019,Albuquerque,NM,maps_organic,GEOGRID13E_V1,NE4,4.0,35.1286992,-106.6017286,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT019_MAPORG_SE4,MKT019,Albuquerque,NM,maps_organic,GEOGRID13E_V1,SE4,4.0,35.04664,-106.6017786,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT019_MAPORG_SW4,MKT019,Albuquerque,NM,maps_organic,GEOGRID13E_V1,SW4,4.0,35.04664,-106.7015614,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT019_MAPORG_NW4,MKT019,Albuquerque,NM,maps_organic,GEOGRID13E_V1,NW4,4.0,35.1286992,-106.7016114,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT020_MAPORG_NE4,MKT020,Fort Collins,CO,maps_organic,GEOGRID13E_V1,NE4,4.0,40.6308286,-105.0281067,in_country,eligible_land,ELIGIBLE,,HIGH,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT020_MAPORG_SE4,MKT020,Fort Collins,CO,maps_organic,GEOGRID13E_V1,SE4,4.0,40.5488461,-105.0281724,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT020_MAPORG_SW4,MKT020,Fort Collins,CO,maps_organic,GEOGRID13E_V1,SW4,4.0,40.5488461,-105.1356476,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT020_MAPORG_NW4,MKT020,Fort Collins,CO,maps_organic,GEOGRID13E_V1,NW4,4.0,40.6308286,-105.1357133,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT021_MAPORG_NE4,MKT021,Chicago,IL,maps_organic,GEOGRID13E_V1,NE4,4.0,41.9248187,-87.5770734,in_country,structural_water_exclusion,STRUCTURAL_WATER,H2030,HIGH,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT021_MAPORG_SE4,MKT021,Chicago,IL,maps_organic,GEOGRID13E_V1,SE4,4.0,41.8428548,-87.5771435,in_country,structural_water_exclusion,STRUCTURAL_WATER,H2030,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT021_MAPORG_SW4,MKT021,Chicago,IL,maps_organic,GEOGRID13E_V1,SW4,4.0,41.8428548,-87.6867565,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT021_MAPORG_NW4,MKT021,Chicago,IL,maps_organic,GEOGRID13E_V1,NW4,4.0,41.9248187,-87.6868266,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT022_MAPORG_NE4,MKT022,Minneapolis,MN,maps_organic,GEOGRID13E_V1,NE4,4.0,45.018245,-93.2076506,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT022_MAPORG_SE4,MKT022,Minneapolis,MN,maps_organic,GEOGRID13E_V1,SE4,4.0,44.9363255,-93.2077328,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT022_MAPORG_SW4,MKT022,Minneapolis,MN,maps_organic,GEOGRID13E_V1,SW4,4.0,44.9363255,-93.3230672,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT022_MAPORG_NW4,MKT022,Minneapolis,MN,maps_organic,GEOGRID13E_V1,NW4,4.0,45.018245,-93.3231494,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT023_MAPORG_NE4,MKT023,Milwaukee,WI,maps_organic,GEOGRID13E_V1,NE4,4.0,43.0826699,-87.8538914,in_country,structural_water_exclusion,STRUCTURAL_WATER,H2030,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT023_MAPORG_SE4,MKT023,Milwaukee,WI,maps_organic,GEOGRID13E_V1,SE4,4.0,43.0007225,-87.8539657,in_country,structural_water_exclusion,STRUCTURAL_WATER,H2030,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT023_MAPORG_SW4,MKT023,Milwaukee,WI,maps_organic,GEOGRID13E_V1,SW4,4.0,43.0007225,-87.9656143,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT023_MAPORG_NW4,MKT023,Milwaukee,WI,maps_organic,GEOGRID13E_V1,NW4,4.0,43.0826699,-87.9656886,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT024_MAPORG_NE4,MKT024,Detroit,MI,maps_organic,GEOGRID13E_V1,NE4,4.0,42.3704653,-82.9889972,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT024_MAPORG_SE4,MKT024,Detroit,MI,maps_organic,GEOGRID13E_V1,SE4,4.0,42.2885078,-82.9890689,outside_country,not_evaluated_outside_country,OUTSIDE_COUNTRY,,HIGH,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT024_MAPORG_SW4,MKT024,Detroit,MI,maps_organic,GEOGRID13E_V1,SW4,4.0,42.2885078,-83.0994511,in_country,structural_water_exclusion,STRUCTURAL_WATER,H3010,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT024_MAPORG_NW4,MKT024,Detroit,MI,maps_organic,GEOGRID13E_V1,NW4,4.0,42.3704653,-83.0995228,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT025_MAPORG_NE4,MKT025,Columbus,OH,maps_organic,GEOGRID13E_V1,NE4,4.0,40.0036333,-82.9500623,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT025_MAPORG_SE4,MKT025,Columbus,OH,maps_organic,GEOGRID13E_V1,SE4,4.0,39.9216419,-82.9501259,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT025_MAPORG_SW4,MKT025,Columbus,OH,maps_organic,GEOGRID13E_V1,SW4,4.0,39.9216419,-83.0566141,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
