coordinate_id,market_id,city,state,geometry_id,point_id,label,bearing_deg,distance_miles,latitude,longitude,center_method_version,coordinate_method,precision_decimal_places,water_eligibility,provisional_risk
MKT005_MAPORG_NE2,MKT005,Fresno,CA,GEOGRID21_V1,NE2,NE 2 mi,45.0,2,36.7601964,-119.7590206,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_SE2,MKT005,Fresno,CA,GEOGRID21_V1,SE2,SE 2 mi,135.0,2,36.7191781,-119.7590342,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_SW2,MKT005,Fresno,CA,GEOGRID21_V1,SW2,SW 2 mi,225.0,2,36.7191781,-119.8099858,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_NW2,MKT005,Fresno,CA,GEOGRID21_V1,NW2,NW 2 mi,315.0,2,36.7601964,-119.8099994,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_NE4,MKT005,Fresno,CA,GEOGRID21_V1,NE4,NE 4 mi,45.0,4,36.7806972,-119.7335177,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_SE4,MKT005,Fresno,CA,GEOGRID21_V1,SE4,SE 4 mi,135.0,4,36.6986607,-119.7335719,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_SW4,MKT005,Fresno,CA,GEOGRID21_V1,SW4,SW 4 mi,225.0,4,36.6986607,-119.8354481,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_NW4,MKT005,Fresno,CA,GEOGRID21_V1,NW4,NW 4 mi,315.0,4,36.7806972,-119.8355023,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_NE2,MKT006,Bakersfield,CA,GEOGRID21_V1,NE2,NE 2 mi,45.0,2,35.3932912,-118.994388,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_SE2,MKT006,Bakersfield,CA,GEOGRID21_V1,SE2,SE 2 mi,135.0,2,35.3522635,-118.9944007,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
